year,richter,deaths
1902,7.5,2000.0
1902,6.4,4700.0
1903,7.0,3500.0
1903,5.8,1000.0
1905,7.5,19000.0
1906,8.8,1000.0
1906,6.8,1250.0
1906,7.7,3000.0
1906,8.6,3882.0
1907,8.1,12000.0
1908,7.2,72000.0
1909,7.3,5000.0
1912,7.4,2800.0
1914,7.0,4000.0
1915,7.0,32610.0
1917,7.5,1800.0
1918,7.4,1000.0
1920,7.8,200000.0
1923,7.3,3500.0
1923,5.7,2200.0
1923,7.9,142800.0
1925,7.0,5800.0
1927,7.6,3020.0
1927,7.6,40900.0
1929,7.2,3800.0
1930,7.2,2500.0
1930,6.5,1404.0
1931,6.0,2500.0
1931,5.7,2800.0
1931,8.0,10000.0
1933,8.4,2990.0
1933,6.2,115.0
1933,7.5,9300.0
1934,8.1,10700.0
1935,7.1,3270.0
1935,7.6,30000.0
1939,7.8,28000.0
1939,7.8,32700.0
1940,7.3,1000.0
1942,7.3,1100.0
1943,7.4,1190.0
1943,7.6,4000.0
1944,7.4,8000.0
1944,7.4,2790.0
1945,7.1,1961.0
1945,8.0,4000.0
1946,5.9,1300.0
1946,7.3,1400.0
1946,8.1,1362.0
1948,7.3,3769.0
1948,7.3,110000.0
1949,7.5,12000.0
1949,6.8,5050.0
1950,8.6,1526.0
1951,5.8,1000.0
1953,7.3,1070.0
1954,6.8,1250.0
1956,7.7,2000.0
1957,7.1,1200.0
1957,7.1,1130.0
1960,5.7,12000.0
1960,9.5,1655.0
1962,7.1,12255.0
1963,6.0,1100.0
1964,9.2,131.0
1966,7.0,1000.0
1966,6.9,1000.0
1966,6.8,2529.0
1968,7.3,12000.0
1969,5.9,3000.0
1970,7.5,10000.0
1970,6.9,1086.0
1970,7.9,700000.0
1971,6.6,65.0
1971,6.9,1000.0
1972,7.1,5054.0
1972,6.2,5000.0
1974,6.8,20000.0
1974,6.2,5300.0
1975,7.0,2000.0
1975,6.7,2300.0
1976,7.5,23000.0
1976,6.5,1000.0
1976,7.1,422.0
1976,7.5,255000.0
1976,7.9,8000.0
1976,7.3,5000.0
1977,7.2,1500.0
1978,7.8,15000.0
1980,7.7,5000.0
1980,6.5,2735.0
1981,6.9,3000.0
1981,7.3,1500.0
1982,6.0,2800.0
1983,6.9,1342.0
1985,8.0,9500.0
1986,5.5,1000.0
1987,7.0,1000.0
1988,6.8,1000.0
1988,6.8,25000.0
1989,6.9,63.0
1990,7.4,40000.0
1990,7.7,1621.0
1991,6.8,1200.0
1991,7.0,2000.0
1992,6.8,4000.0
1992,6.0,
1992,7.3,3.0
1992,6.5,
1992,7.5,2500.0
1993,6.2,9748.0
1994,6.8,61.0
1994,6.8,1000.0
1995,6.9,5502.0
1995,7.5,1989.0
1997,6.1,1000.0
1997,7.3,1567.0
1998,5.9,2323.0
1998,6.6,4000.0
1998,7.0,2183.0
1999,6.1,1185.0
1999,7.6,17118.0
1999,7.6,2400.0
